,PC1,PC2,PC3
AML:sample1004,0.000281475,-0.000363072,-0.000268071
AML:sample1006,0.000284861,-0.000365971,-0.000331766
AML:sample1023,0.000300922,1.03E-06,0.000152154
AML:sample1025,0.000280465,-0.000287861,-0.000291358
AML:sample1042,0.000281106,-0.000321181,-0.000356632
AML:sample1054,0.000262292,6.62E-05,0.000213429
AML:sample1055,0.000284884,-0.000298247,-0.000407099
AML:sample1060,0.000225548,-0.000279042,-0.00030592
AML:sample1066,0.000297247,-0.00030277,-0.000474327
AML:sample1074,0.000318569,-3.71E-06,-7.67E-05
AML:sample1079,0.000240209,-0.000239132,-0.000408906
AML:sample1080,0.000269593,-0.000242685,7.62E-05
AML:sample1087,0.000305362,-0.000335483,-0.000306661
AML:sample1088,0.000319606,-0.00021302,-0.000178374
AML:sample1095,0.0003077,-0.000254637,-5.40E-05
AML:sample1106,0.000286681,-0.000485122,-0.000779775
AML:sample1107,0.000251632,-0.000462656,-0.000712093
AML:sample111,0.000255789,-0.000434962,-0.000875221
AML:sample1110,0.000265404,0.000174223,0.000608217
AML:sample1116,0.000300393,-0.0002631,-0.000363261
AML:sample1117,0.000215312,-0.000398547,-0.000809584
AML:sample1127,0.000327681,-0.000243527,-7.93E-05
AML:sample1130,0.00026012,-0.000271441,-0.000395215
AML:sample1133,0.000312515,-0.000345494,-0.000603247
AML:sample1135,0.000236247,-0.000425779,-0.000182142
AML:sample1139,0.000277834,-0.000455556,-0.000449718
AML:sample1143,0.000279012,-0.0005336,-0.000754154
AML:sample1153,0.000292966,-0.000214114,-3.36E-05
AML:sample1154,0.000313576,-0.000245834,-8.20E-05
AML:sample1159,0.000286312,-0.000176936,-0.00011291
AML:sample1162,0.00024474,-0.000275934,-0.000245275
AML:sample1169,0.000295841,-0.00035418,-0.000494005
AML:sample1182,0.000304745,-5.03E-05,0.000296732
AML:sample1187,0.000264403,-0.000344607,-0.000392228
AML:sample1202,0.00028072,-0.000229628,-8.57E-06
AML:sample1206,0.000246566,-0.000114569,5.48E-05
AML:sample1210,0.000256639,-5.71E-06,8.23E-05
AML:sample1257,0.000320315,-0.000139798,5.92E-05
AML:sample1258,0.000287831,-4.02E-05,0.00030862
AML:sample1260,0.000256982,-0.000439143,-0.000661735
AML:sample1274,0.000254988,-0.000404612,-0.000370219
AML:sample1275,0.000270034,-0.000162464,-3.06E-05
AML:sample1289,0.000273703,-0.000101418,4.59E-05
AML:sample1295,0.000316716,-0.000200113,-0.000246221
AML:sample1302,0.000248344,9.18E-05,0.000207603
AML:sample1305,0.00030579,-0.000690336,-0.000965623
AML:sample1314,0.000287529,-0.0003422,-0.000764527
AML:sample1325,0.000306876,-0.00013626,4.77E-05
AML:sample1328,0.000281542,-0.000215368,-0.00017545
AML:sample1343,0.000265171,-0.000146358,0.000143043
AML:sample1346,0.000267808,-0.000388237,-0.000251812
AML:sample1353,0.000253907,-0.000468895,-0.000698803
AML:sample1359,0.000293984,-0.000214598,-0.000559973
AML:sample1366,0.000294048,-0.000276067,-0.000279033
AML:sample1367,0.000304517,-0.000304226,-0.000278896
AML:sample1374,0.00024145,-0.000282786,-0.000230867
AML:sample1377,0.000266905,-0.000278084,0.000113886
AML:sample1385,0.000317325,-0.000294851,-0.000514449
AML:sample1390,0.000258773,-0.000348655,-0.000293517
AML:sample1394,0.000242911,-0.000363058,-0.000507797
AML:sample1396,0.000286673,-0.00037975,-0.000503992
AML:sample141,0.000275963,-0.000486565,-0.000696662
AML:sample1419,0.000270759,-0.000536676,-0.00058726
AML:sample1425,0.000249191,-0.000286557,-0.000218593
AML:sample143,0.00029799,-0.0001243,0.000230885
AML:sample1431,0.00030767,-0.000346271,-0.000363199
AML:sample1436,0.000300284,-9.92E-05,-6.39E-05
AML:sample1438,0.000294702,-0.00047313,-0.0008737
AML:sample1445,0.000268254,-0.000511151,-0.000522155
AML:sample1450,0.000276924,-0.000426992,-0.000504984
AML:sample1453,0.00025005,7.79E-05,0.000524226
AML:sample1458,0.000317105,-0.000417725,-0.00062151
AML:sample1467,0.000288922,-3.78E-05,9.24E-05
AML:sample1468,0.000258607,-0.000531421,-0.000398731
AML:sample1472,0.000254394,-0.000276605,-0.000309808
AML:sample1473,0.00030634,-0.000298438,-0.000281804
AML:sample1478,0.00025061,-0.000348286,-0.000573789
AML:sample15,0.000285807,0.000106277,0.000292651
AML:sample1513,0.000248403,-0.000215366,-0.000343897
AML:sample156,0.000241584,-0.000148638,9.93E-05
AML:sample162,0.000294913,-0.000501046,-0.000753468
AML:sample172,0.000309661,-0.000253403,-0.00059905
AML:sample174,0.000261939,-0.000553666,-0.000732954
AML:sample191,0.000260275,-0.000389381,-0.000378876
AML:sample195,0.000294824,-0.000429339,-0.000600122
AML:sample198,0.000291356,-0.000364965,-0.000354997
AML:sample199,0.000276989,-0.000429575,-0.000385455
