,PC1,PC2,PC3
TSI:UNIGE:ERR188021,-0.000796219,-0.000885815,0.001082083
CEU:UNIGE:ERR188022,-0.000201345,-0.001854438,0.000443055
FIN:CNAG_CRG:ERR188023,-0.000575348,0.001582897,-0.000700981
CEU:UNIGE:ERR188024,-0.000580207,-0.001069062,0.000440791
FIN:CNAG_CRG:ERR188025,0.00021378,0.000749445,-0.000515356
TSI:MPIMG:ERR188026,0.000750789,6.13E-06,-0.00073365
CEU:UNIGE:ERR188027,-0.000415852,-0.000505355,0.001815788
GBR:UNIGE:ERR188028,-0.000641944,-0.000674836,0.000237681
FIN:CNAG_CRG:ERR188029,-0.000651765,0.001231758,-0.001571777
YRI:MPIMG:ERR188030,0.000934037,-0.001047599,0.000297744
FIN:MPIMG:ERR188031,0.000723945,0.000375391,-0.000967064
CEU:LUMC:ERR188032,-0.000632875,0.000569549,0.000611171
FIN:UNIGE:ERR188033,-0.000117191,-0.001097593,-0.000113285
FIN:MPIMG:ERR188034,0.001190552,0.000621187,-0.000528117
GBR:ICMB:ERR188035,0.000536215,-3.91E-05,-0.000708832
GBR:HMGU:ERR188036,-0.000254828,0.000104161,-0.001380189
YRI:ICMB:ERR188037,0.000235354,-0.000898352,0.000637014
FIN:UNIGE:ERR188038,-5.55E-05,-0.000460645,-0.000415517
CEU:ICMB:ERR188039,0.000201098,0.001052828,0.001911061
GBR:UNIGE:ERR188040,-0.000218212,-0.001745562,-0.000653888
GBR:HMGU:ERR188041,-0.000289752,0.000341199,-0.001284224
YRI:UNIGE:ERR188042,-0.000468111,-0.001501978,0.001135654
FIN:CNAG_CRG:ERR188043,-0.000552464,0.000479712,-0.001752083
YRI:CNAG_CRG:ERR188044,-0.000525409,0.000213919,-0.000544265
FIN:CNAG_CRG:ERR188045,-0.000468625,0.000504522,-0.001593122
FIN:UNIGE:ERR188046,-0.000453366,-0.000279374,-9.81E-05
CEU:CNAG_CRG:ERR188047,-0.000776161,0.001782433,0.001180439
CEU:UNIGE:ERR188048,0.000288338,-0.000502797,0.002183349
CEU:UNIGE:ERR188049,0.000222725,0.000246315,0.001252576
TSI:ICMB:ERR188050,0.00026568,9.60E-06,-0.001012061
CEU:UNIGE:ERR188051,0.000742568,0.000160952,0.002769482
TSI:UNIGE:ERR188052,-0.000332636,-0.000625936,0.000416993
GBR:MPIMG:ERR188053,0.000344772,0.00012027,-0.001342648
TSI:HMGU:ERR188054,-0.000145666,0.00090132,-0.001163293
YRI:UNIGE:ERR188055,-0.000474639,-0.001513353,0.00065722
FIN:LUMC:ERR188056,-0.000592756,0.000405072,-0.00023877
GBR:CNAG_CRG:ERR188057,-0.000193994,0.000322064,-0.001244945
CEU:ICMB:ERR188058,0.00062429,0.000937835,0.001505864
GBR:UNIGE:ERR188059,-0.000181427,-0.002237217,-0.000924656
YRI:MPIMG:ERR188060,0.000815424,0.000507693,0.001252287
CEU:UU:ERR188061,-0.000192839,-1.43E-05,-0.000763953
CEU:UU:ERR188062,0.000713031,0.000805522,0.002213064
TSI:LUMC:ERR188063,-0.00131456,0.000754367,0.000363093
YRI:UNIGE:ERR188064,0.000368901,-0.00165247,8.97E-05
GBR:UNIGE:ERR188065,-0.000777596,-0.001041543,-1.57E-05
YRI:LUMC:ERR188066,-0.000974024,0.000192963,0.00046251
CEU:LUMC:ERR188067,-0.000704783,-0.000158998,0.001642034
TSI:ICMB:ERR188068,0.000104578,1.74E-05,-0.000638506
YRI:ICMB:ERR188069,0.000717559,-0.000343481,0.000188281
GBR:UU:ERR188070,-5.55E-05,-0.000287849,-0.00168435
GBR:UU:ERR188071,0.000700461,-0.000467848,-0.001103272
YRI:UNIGE:ERR188072,0.000273799,-0.002324217,0.000426743
GBR:UU:ERR188073,-0.000324991,0.001553844,0.000927764
YRI:UU:ERR188074,0.00041516,0.000234711,0.000387008
FIN:ICMB:ERR188075,0.000259658,0.00143348,-0.000526752
CEU:HMGU:ERR188076,0.000552581,0.000645852,0.001018182
CEU:LUMC:ERR188077,-0.000646178,-0.000462077,0.000313701
FIN:ICMB:ERR188078,8.68E-05,-0.000282403,-0.000539068
TSI:ICMB:ERR188079,0.001332096,-0.000544966,-0.000409032
GBR:UNIGE:ERR188080,-0.000110576,-0.00161219,-0.000594886
CEU:LUMC:ERR188081,-0.000720477,-0.000519178,0.001264336
GBR:CNAG_CRG:ERR188082,-0.000111339,0.001081514,-0.000539952
FIN:MPIMG:ERR188083,-8.07E-05,-0.000345934,-0.001162728
