,PC1,PC2,PC3
TSI:UNIGE:ERR188021,-0.000629774,-0.001036789,0.000647276
CEU:UNIGE:ERR188022,5.89335E-05,-0.000873553,0.000334918
FIN:CNAG_CRG:ERR188023,-0.000993505,0.000524508,-0.000479752
CEU:UNIGE:ERR188024,-0.000177037,-0.001481398,-0.000138116
FIN:CNAG_CRG:ERR188025,-0.000310999,0.001150673,6.06147E-05
TSI:MPIMG:ERR188026,0.000254619,1.12E-03,0.000248429
CEU:UNIGE:ERR188027,-0.000241381,-0.000807362,-0.001379588
GBR:UNIGE:ERR188028,-0.000624651,-0.000739344,0.000534691
FIN:CNAG_CRG:ERR188029,-0.000935324,0.000165797,-5.22763E-06
YRI:MPIMG:ERR188030,0.000832868,0.000283407,0.000521439
FIN:MPIMG:ERR188031,1.92251E-05,0.00137096,-1.57397E-05
CEU:LUMC:ERR188032,-0.00058162,-0.000612612,-0.000734362
FIN:UNIGE:ERR188033,4.69039E-05,-0.000738351,0.000514026
FIN:MPIMG:ERR188034,0.00054926,0.001587802,-0.000213682
GBR:ICMB:ERR188035,5.23051E-05,1.11E-03,0.00035773
GBR:HMGU:ERR188036,-0.000552447,0.000299752,0.000334677
YRI:ICMB:ERR188037,6.87136E-05,5.27679E-05,0.000329256
FIN:UNIGE:ERR188038,-4.28E-05,-0.000367403,0.000243621
CEU:ICMB:ERR188039,-9.24222E-06,0.000284913,-0.001250317
GBR:UNIGE:ERR188040,-0.000221128,-0.000286402,0.00119711
GBR:HMGU:ERR188041,-0.00063416,0.000773492,0.000380663
YRI:UNIGE:ERR188042,-0.00023467,-0.001317995,0.000400259
FIN:CNAG_CRG:ERR188043,-0.000872088,3.76449E-05,0.000552763
YRI:CNAG_CRG:ERR188044,-0.000473502,-0.000435722,0.000254361
FIN:CNAG_CRG:ERR188045,-0.000638992,-0.000120659,0.000152098
FIN:UNIGE:ERR188046,-0.000467395,-0.000538844,4.58E-04
CEU:CNAG_CRG:ERR188047,-0.001028204,-0.000154872,-0.001690156
CEU:UNIGE:ERR188048,0.000305336,-3.78547E-05,-0.001088932
CEU:UNIGE:ERR188049,0.000203903,-9.3769E-05,-0.001553923
TSI:ICMB:ERR188050,-0.000193938,6.45E-04,0.000714803
CEU:UNIGE:ERR188051,0.000757804,9.04443E-05,-0.00181634
TSI:UNIGE:ERR188052,-0.000268884,-0.000656276,0.000286858
GBR:MPIMG:ERR188053,9.35113E-06,0.000482934,0.000249562
TSI:HMGU:ERR188054,-0.000652412,0.000908945,7.96047E-05
YRI:UNIGE:ERR188055,-9.66173E-06,-0.00121806,0.00073419
FIN:LUMC:ERR188056,-0.000804185,0.000102913,2.35147E-05
GBR:CNAG_CRG:ERR188057,-0.000566757,0.000587272,0.000339816
CEU:ICMB:ERR188058,0.000542157,0.000434478,-0.001997524
GBR:UNIGE:ERR188059,-7.9477E-07,-0.000824809,0.001654808
YRI:MPIMG:ERR188060,0.000516785,0.000741967,-0.000589138
CEU:UU:ERR188061,-0.000201779,-3.99E-04,-8.41834E-05
CEU:UU:ERR188062,0.000502391,0.000488368,-0.001707935
TSI:LUMC:ERR188063,-0.00103636,-0.000991073,-0.000862005
YRI:UNIGE:ERR188064,0.000589749,-0.000445834,1.05E-03
GBR:UNIGE:ERR188065,-0.000712608,-0.000807135,9.53E-04
YRI:LUMC:ERR188066,-0.000899916,-0.000571074,0.000210564
CEU:LUMC:ERR188067,-0.000514001,-0.000684085,-0.000628372
TSI:ICMB:ERR188068,-0.000193852,2.20E-04,7.53067E-05
YRI:ICMB:ERR188069,0.000469113,0.000572004,0.000268925
GBR:UU:ERR188070,-3.69E-04,0.000426419,0.00094336
GBR:UU:ERR188071,0.0003691,0.000671724,0.000650488
YRI:UNIGE:ERR188072,0.000585703,-0.000687666,0.001288305
GBR:UU:ERR188073,-0.000537862,4.57511E-05,-0.001087489
YRI:UU:ERR188074,0.000336368,5.01241E-05,0.000262939
FIN:ICMB:ERR188075,-9.78447E-05,0.000831649,-0.000753964
CEU:HMGU:ERR188076,0.000339974,0.000807694,-0.00081343
CEU:LUMC:ERR188077,-0.000528906,-0.000568484,-4.47521E-05
FIN:ICMB:ERR188078,-1.50E-04,0.000197293,0.000308869
