	Population	Performer
ERR188021	TSI	UNIGE
ERR188022	CEU	UNIGE
ERR188023	FIN	CNAG_CRG
ERR188023	FIN	CNAG_CRG
ERR188024	CEU	UNIGE
ERR188025	FIN	CNAG_CRG
ERR188026	TSI	MPIMG
ERR188027	CEU	UNIGE
ERR188028	GBR	UNIGE
ERR188029	FIN	CNAG_CRG
ERR188030	YRI	MPIMG
ERR188031	FIN	MPIMG
ERR188032	CEU	LUMC
ERR188033	FIN	UNIGE
ERR188034	FIN	MPIMG
ERR188035	GBR	ICMB
ERR188036	GBR	HMGU
ERR188037	YRI	ICMB
ERR188038	FIN	UNIGE
ERR188039	CEU	ICMB
ERR188040	GBR	UNIGE
ERR188041	GBR	HMGU
ERR188042	YRI	UNIGE
ERR188043	FIN	CNAG_CRG
ERR188044	YRI	CNAG_CRG
ERR188045	FIN	CNAG_CRG
ERR188046	FIN	UNIGE
ERR188047	CEU	CNAG_CRG
ERR188048	CEU	UNIGE
ERR188049	CEU	UNIGE
ERR188050	TSI	ICMB
ERR188051	CEU	UNIGE
ERR188052	TSI	UNIGE
ERR188053	GBR	MPIMG
ERR188054	TSI	HMGU
ERR188055	YRI	UNIGE
ERR188056	FIN	LUMC
ERR188057	GBR	CNAG_CRG
ERR188058	CEU	ICMB
ERR188059	GBR	UNIGE
ERR188060	YRI	MPIMG
ERR188061	CEU	UU
ERR188062	CEU	UU
ERR188063	TSI	LUMC
ERR188064	YRI	UNIGE
ERR188065	GBR	UNIGE
ERR188066	YRI	LUMC
ERR188067	CEU	LUMC
ERR188068	TSI	ICMB
ERR188069	YRI	ICMB
ERR188070	GBR	UU
ERR188071	GBR	UU
ERR188072	YRI	UNIGE
ERR188073	GBR	UU
ERR188074	YRI	UU
ERR188075	FIN	ICMB
ERR188076	CEU	HMGU
ERR188077	CEU	LUMC
ERR188078	FIN	ICMB
ERR188079	TSI	ICMB
ERR188080	GBR	UNIGE
ERR188081	CEU	LUMC
ERR188082	GBR	CNAG_CRG
ERR188083	FIN	MPIMG
ERR188084	GBR	LUMC
ERR188085	YRI	UNIGE
ERR188086	CEU	UNIGE
ERR188087	GBR	UNIGE
ERR188088	TSI	UNIGE
ERR188089	FIN	HMGU
ERR188090	FIN	MPIMG
ERR188091	GBR	CNAG_CRG
ERR188092	CEU	MPIMG
ERR188093	YRI	HMGU
ERR188094	TSI	MPIMG
ERR188095	GBR	UU
ERR188096	YRI	UNIGE
ERR188097	YRI	LUMC
ERR188098	FIN	HMGU
ERR188099	CEU	UU
ERR188100	CEU	ICMB
ERR188101	CEU	ICMB
ERR188102	FIN	UNIGE
ERR188103	YRI	UNIGE
ERR188104	YRI	HMGU
ERR188105	TSI	HMGU
ERR188106	GBR	MPIMG
ERR188107	CEU	UNIGE
ERR188108	TSI	ICMB
ERR188109	YRI	MPIMG
ERR188110	TSI	MPIMG
ERR188111	GBR	CNAG_CRG
ERR188112	GBR	LUMC
ERR188113	FIN	UNIGE
