"","PC1","PC2","PC3"
"LUAD_1",-11.6132840374024,26.9652547822172,-40.3009265501645
"LUAD_10",-105.694813623808,-20.2826150761669,-0.25506620602166
"LUAD_100",-105.603986390184,-12.5184892507324,6.96354722542888
"LUAD_101",-107.30028647991,-20.8201388564377,13.2811010334087
"LUAD_102",-2.72712364260329,61.4040356339193,-73.7079469570378
"LUAD_103",26.4623879447563,73.0342931350895,-11.303011857174
"LUAD_104",-26.0469192182862,-35.6911537866865,-27.541301321866
"LUAD_105",25.255208006524,10.331085190825,38.5995950549679
"LUAD_106",-30.7236135736986,-29.8184359775684,-4.53169836261518
"LUAD_107",-44.7381131016441,-31.4004146539607,-19.7753398298113
"LUAD_108",-40.0812413888738,16.3253070901744,10.1152891113426
"LUAD_109",13.711265581795,-21.2994611054936,-58.3767468490492
"LUAD_11",-106.74308219854,-19.697651385284,9.27315527338427
"LUAD_110",-47.5892195464235,-13.8888239908463,-47.4912719984329
"LUAD_111",-57.7690993493985,25.301063185309,43.4207453745115
"LUAD_112",30.9769678312412,83.1882163024286,-34.0393632221322
"LUAD_113",-31.1500748240317,48.8713594634022,-26.5979420193244
"LUAD_114",-4.01533303888812,1.70847080650535,-44.2075973983532
"LUAD_115",-89.65923102625,26.6397057324462,26.5303566211107
"LUAD_116",70.097480199694,120.39318345038,-54.6329701707286
"LUAD_117",-15.1539994477949,10.9437675677289,-53.6345021823521
"LUAD_118",29.4925537387819,10.2826330768161,-70.098629152681
"LUAD_119",22.6728999290943,131.929743532541,-34.1467253672953
"LUAD_12",-34.9074959666325,10.6454910455411,-8.49149328215461
"LUAD_120",-4.55573893999726,-28.6234959121834,-13.8392919759215
"LUAD_121",9.7325154253431,-10.0593881202637,-22.069571150976
"LUAD_122",-49.3588326901296,0.645190308329316,-7.44433537379237
"LUAD_123",10.5857875574766,-7.61748463473517,14.8599415313015
"LUAD_124",-28.1137947410454,18.3300203070114,-38.1244759810008
"LUAD_125",34.1219999206815,47.8670592730029,-5.48594503573697
"LUAD_126",-63.6196823976867,-17.8980168993689,-50.4923369428318
"LUAD_127",-72.2928608398232,-9.11907336881248,-38.7057831328192
"LUAD_128",-39.1510510623745,35.3648866964238,8.65846780594915
"LUAD_129",-32.4092914969772,33.0699252439891,-2.56157882206277
"LUAD_13",8.31144153429329,-48.3149191624897,-39.3609136932482
"LUAD_130",7.14981156621741,34.2776798466298,-18.6262791501153
"LUAD_131",-23.3665030454864,51.0152236586167,13.0247340028829
"LUAD_132",23.6868081692195,81.496287607922,27.3776755162164
"LUAD_133",-72.2577936098407,0.88666762747049,4.39086794160887
"LUAD_134",-70.6179347088737,-33.1546401353794,-38.8239368110755
