"","PC1","PC2","PC3"
"LC_C1",-72.6344552590229,68.1975759705245,-13.7194117848521
"LC_C2",-97.4987876869122,47.6759463104539,-6.6509607339158
"LC_C3",-79.2144260820515,39.6881737116019,47.7537152239092
"LC_C4",-16.9954635924222,107.116653855345,10.5999843056629
"LC_C5",-101.611405292819,40.3907187102492,-4.28701276869109
"LC_C6",-67.8941209410584,68.7141494656809,-1.81106305303752
"LC_C7",-6.40244398356485,100.789655277448,-33.8803646554702
"LC_C8",-35.9678896998201,75.7971309727803,3.20759591480738
"LC_C9",-43.8488244713042,82.4800821423176,-15.6850639538895
"LC_C10",-68.2871169095875,85.4077888342021,5.38778483192641
"LC_C11",-84.0388208850706,57.9863985503591,12.2504817535879
"LC_C12",-100.288473470716,51.0945999557862,-1.4280424636335
"LC_C13",-57.5245276729887,71.4596006085672,13.2404563821598
"LC_C14",-76.3860277282039,47.1926840844423,35.889646680483
"LC_C15",-74.3348387889803,62.1344974147663,0.931540718626475
"LC_C16",-112.015497051592,47.7547308237361,-12.0295473294909
"LC_C17",-97.0602232078778,50.6757958604265,-16.9309359241908
"LC_C18",-11.9017532005082,94.4531678770736,4.89940333540276
"LC_C19",-69.0950743206212,69.1864584431516,-4.75341976787287
"LC_C20",-83.2988723968397,42.2010563269001,-14.2678650872584
"LC_C21",-19.6445837721205,100.407168026256,10.5113669401944
"LC_C22",-76.8324485334526,63.782206481785,9.39456770621752
"LC_C23",-83.9994500041063,56.1315080420654,-13.2877846091652
"LC_C24",-104.759595938604,46.0775098131388,-1.83517965419112
"LC_C25",-99.4163266603949,59.1256181494811,-15.4971250380891
"LC_C26",-95.3894509834621,56.5727334439751,-7.6526361772051
"LC_C27",-80.4862235603244,44.6253692579904,3.34712974713424
"LC_C28",-64.7672623082169,66.2755995662848,7.98253475626141
"LC_C29",-101.531227574563,38.7853766243091,1.30560817748257
"LC_C30",-104.095582547917,43.1683186324775,-3.80404707063833
"LC_C31",-112.964635196247,34.6424803089601,-21.1396206158406
"LC_C32",-71.2454013344906,53.1406407521439,-2.71834043390582
"LC_C33",-36.0270832402104,78.6993508009523,10.2270638993391
"LC_C34",-25.112547948589,58.5678577606878,-23.0926250580413
"LC_C35",-82.1084241030179,55.2108790650515,-11.1145041872537
"LC_C36",-69.7504639535521,66.9338975815543,21.1838058447057
"LC_S6",-87.8438722172231,44.2541934453259,31.859927033278
"LC_S8",-102.256355861368,42.3852261449086,14.0766126356985
"LC_S9",-59.0280398152696,56.3274251471117,43.5413238305976
"LC_S10",-52.1964125239015,53.926862602644,9.5541948700952
"LC_S11",-11.9019621699373,77.7520202381445,-10.2317961654702
"LC_S12",-59.9121102729431,53.8747866290828,6.46117641931105
"LC_S13",-97.184026151369,49.332859659629,0.0689960603723232
"LC_S14",-85.5460695382315,26.7660486177342,14.987820841523
"LC_S15",-80.6807745216557,44.7269005385334,0.964550931813254
"LC_S16",-98.9108126128797,47.8860570188922,-13.382531524361
"LC_S17",-54.8044584435686,75.1463728165715,-9.40048626918069
"LC_S18",-82.1494717870478,50.7723135170079,2.04013097388877
"LC_S19",-54.0923339452297,74.4535606311396,15.9420945199791
"LC_S20",-58.6757460157645,70.6548343249738,26.0177609350329
"LC_S21",-71.5929603244692,71.8849588620627,13.6099560468426
"LC_S22",-84.4935554568544,38.6300702374792,-14.6771278882781
"LC_S23",-57.0050761556104,71.8481839665669,48.7914872085388
"LC_S24",-76.9893968618303,67.6170503883584,-7.80200969845356
"LC_S25",-42.7272483719091,88.9186554422318,10.3365799065477
"LC_S26",-83.8291655672974,52.8836560926601,-1.40506079137451
"LC_S27",-82.5393458313982,69.5554085897659,25.6893429302563
"LC_S28",-79.9647462649102,57.2251349244568,0.818254866348086
"LC_S29",-55.4267025512301,69.2102138375106,4.03038641237706
"LC_S30",-95.4707828803085,45.8403084018909,12.1280170003515
"LC_S31",-48.6741352292212,89.5521810814564,8.23415492950137
"LC_S32",-76.771541423959,64.5632717870035,7.75158425694935
"LC_S33",-125.221489755077,19.6327450087776,-32.0381835121831
"LC_S34",-64.4123927239865,74.3706351137473,23.8201412610325
"LC_S35",-48.6052971302742,78.7455017827121,15.593065446019
"LC_S36",-86.0769964367941,57.4287287440642,8.96505043396741
"LC_S37",-93.3542761234923,45.4203603903021,-21.7662136917573
"LC_S38",-2.82280002379696,102.60053130589,33.8184115911424
"LC_S39",-22.4398894340654,75.0905034708707,5.41615068968553
"LC_S40",-48.3676730517753,87.3281553431198,24.4894013140806
"LC_S41",-61.9377377798559,71.7802761244335,15.604707920902
"LC_S42",-64.1822685465485,72.417318985824,-8.66121958961673
"LC_S43",-89.8550278545746,63.8031820059966,7.47820803841436
"LC_S44",-106.345946818622,45.2248296796655,-3.84966939865705
"LC_S45",-81.917450581434,73.2232504362285,6.63441415655752
"LC_S46",-73.4958726216625,71.2823376911882,39.1940635044543
"LC_S47",-112.968148545858,32.3536228405161,-12.0441976216319
"LC_S48",-63.5125094616117,72.9310626274586,11.0059701518263
"LC_S49",-60.8013820016405,76.3380104708636,39.9034393633203
"LC_S1",-93.7249204244206,60.151558453161,-17.8074710016574
"LC_S2",-91.4640854534966,58.1651297861003,-9.04042461926416
"LC_S3",-33.8471255442019,98.4236627195567,-1.92587346984376
"LC_S4",-39.740727963174,71.3448177715223,11.9640299433101
"LC_S5",-91.1308534191697,57.8896181335337,0.175439644870625
"LC_S50",-104.063391028612,39.8202450775071,-16.5002354271372
"LC_S51",-15.1131946499802,88.7550578475313,14.5620254603088
"LC_S52",-107.512590625249,33.447717153888,-13.0613992629483
"LUAD_1",-1.13667729614241,-13.5857018006545,46.3715168519992
"LUAD_10",-73.2823696359063,-60.6047367995918,-23.2444619837655
"LUAD_100",-72.735272317424,-65.1684112765178,-24.3532308461961
"LUAD_101",-76.6858858477251,-65.2185017237993,-29.2494018679153
"LUAD_102",6.74845143131026,-18.1623589996367,86.8089198902839
"LUAD_103",26.3509260940765,-10.6985975566657,53.9695761775833
"LUAD_104",-9.45760485528703,1.84282472141383,-15.7742920790576
"LUAD_105",26.3907322789134,0.670848839577809,-17.9852056460186
"LUAD_106",-8.81190310777977,-19.7996557696978,-26.5691290621241
"LUAD_107",-21.943484247404,-21.7046486330931,-9.51408000154538
"LUAD_108",-21.4477817667539,-25.8397237003433,0.676105007247375
"LUAD_109",26.7942253909438,12.123363765418,15.3060082194152
"LUAD_11",-77.6073507168904,-61.6212409055353,-25.6367781877715
"LUAD_110",-26.7762182643325,-19.1075316881893,13.1785763354665
"LUAD_111",-38.0755857421619,-35.3430182068989,-13.8058159012032
"LUAD_112",35.6457071351994,-15.2463370002888,72.0757084439225
"LUAD_113",-11.5078998991296,-37.6146501259909,48.5831713683791
"LUAD_114",16.0068593127322,-17.6727910240165,22.9437757226588
"LUAD_115",-60.7192166592292,-67.74681013067,-3.97089061352648
"LUAD_116",61.8736544099043,10.4703007132393,104.734777807653
"LUAD_117",6.04786086732798,-13.7017051195496,33.8851946201041
"LUAD_118",35.9055511366202,2.87991498612834,49.7299503995729
"LUAD_119",20.9425831644766,-19.4542159434076,103.867955644372
"LUAD_12",-14.2511263125763,-20.409610276009,16.6273499024633
"LUAD_120",11.0546982554434,-3.67714677099089,-13.0373201904359
"LUAD_121",26.7949464414563,-10.3192533164425,5.7783854297509
"LUAD_122",-27.4013113698135,-34.6037088119799,2.71807549029646
"LUAD_123",25.6333657945851,-0.877958105352903,-11.7855170038405
"LUAD_124",-8.19091875405178,-28.8348382393529,27.7256460751011
"LUAD_125",30.9603206422242,0.0812197363019611,29.1066940058351
"LUAD_126",-38.4218247177626,-28.1926666371028,12.1266524335117
"LUAD_127",-46.2611659040543,-35.3372358011985,9.565912693246
"LUAD_128",-23.9821833281794,-34.5452359686806,16.4678413613558
"LUAD_129",-17.4978119080751,-23.7501531267431,26.4239748918372
"LUAD_13",31.7016659865176,12.5639875544091,-11.5616270825395
"LUAD_130",14.8461454067586,-14.2037071477079,31.7066542815827
"LUAD_131",-10.6470982845025,-27.965943438374,31.9983198272565
"LUAD_132",30.0793621365766,-8.95636114448404,38.7494178380075
"LUAD_133",-46.2180954941983,-48.4214116837112,-6.85317253510206
"LUAD_134",-48.1547535686371,-29.3406039166641,-4.90013868265869
"LUAD_135",22.2548531003045,-0.564320350080689,31.9994348948654
"LUAD_136",-12.802738475416,-29.0955709400511,13.0312863079532
"LUAD_137",39.466201592416,29.4894288007217,-35.894259634735
"LUAD_138",-37.974212239006,-33.9512814194023,-7.52368887179828
"LUAD_139",60.7980609729788,15.6488722715314,-31.8687922069689
"LUAD_14",-16.166166880795,-28.7720674172725,-7.27428269872552
"LUAD_140",-22.4977754532751,-22.171547134482,20.8810317130012
"LUAD_141",-26.7829202162235,-30.6202579086001,6.5118427044674
"LUAD_142",-70.6029953073081,-69.8416338316573,-14.4913126718315
"LUAD_143",15.1946325969005,-1.53435435637669,-9.49311065175203
"LUAD_144",-9.42120342618679,-37.4924258666477,25.8151570902988
"LUAD_145",-6.80358559246315,-23.0021011933911,15.871496474968
"LUAD_146",7.10550032186144,-10.8583333139792,13.5363078091899
"LUAD_147",-21.9862027564174,-45.9665648852757,29.7290326664279
"LUAD_148",-13.2043548551212,-34.2623281769672,91.1652189839456
"LUAD_149",-30.0810675773393,-31.881966162104,-4.46648956756804
"LUAD_15",32.3957803752655,2.97026920361879,20.5790718005011
"LUAD_150",-18.0889377101504,-7.94145186526199,8.11002610285476
"LUAD_151",54.4302454120956,21.7084933598635,-23.6933271149498
"LUAD_152",-30.5012152593565,-22.45742069048,-15.5858214129413
"LUAD_153",28.8018074857079,-22.7317115439841,109.569082175464
"LUAD_154",7.62446942394693,-12.0347491876979,22.7659109809038
"LUAD_155",-23.7784707413036,-14.6050995101131,0.660367315115523
"LUAD_156",-7.79328932570738,-9.43752277573424,26.2797017836766
"LUAD_157",-64.5825684618712,-67.2817067460683,-13.3999406540388
"LUAD_158",13.9401270968051,-19.0174607044362,94.942492009916
"LUAD_159",-66.3132510552719,-64.5924711776482,-14.2226425896412
"LUAD_16",-8.58732683834824,-22.3801669728377,8.06745672615618
"LUAD_160",-43.2290545785626,-60.3409600704427,33.7383481416471
"LUAD_161",-50.3339612618382,-49.7460261887909,-16.4257368460429
"LUAD_162",42.311465911306,-0.344615961311234,34.6351264643945
"LUAD_163",7.16316854889162,-7.34060867880896,24.9770439653132
"LUAD_17",-70.740469294616,-71.46436985072,-16.053685403038
"LUAD_18",-26.6238142142164,-20.3399802446033,-13.1238037581817
"LUAD_19",-65.3885124769236,-71.3466289374716,-14.1974733685286
"LUAD_2",-10.1596110198238,-37.5389640990656,69.7003100574906
"LUAD_20",-3.84555409869618,-15.0682599730605,6.65499052764457
"LUAD_21",-72.2967202425157,-66.3159555442431,-13.5926295104733
"LUAD_22",30.7703336222395,21.7188875185768,-5.23115524103744
"LUAD_23",-8.72225364687588,-3.65821833736708,11.755255696191
"LUAD_24",21.4528755002415,6.80762506867872,13.613141903905
"LUAD_25",-55.3461352412001,-59.8971231385319,-18.9780795737696
"LUAD_26",-6.46315341884558,-14.352279604189,9.60418452313229
"LUAD_27",2.80981433979152,-10.9484338498883,-10.1169924657079
"LUAD_28",-33.0232444510601,-18.6178648941878,-28.4126889678562
"LUAD_29",-1.19610989335923,-18.4415172780259,25.2175714992871
"LUAD_3",-3.80889483435586,-18.5801424641574,53.6055746367593
"LUAD_30",-75.0203416294347,-72.3168590385109,-27.3413643247923
"LUAD_31",-17.0351811534299,-26.2640781544877,11.9548690743029
"LUAD_32",-14.2476993824005,-19.8044838263481,8.66795857466953
"LUAD_33",-14.8939674775676,-32.021303995323,-3.08048517210417
