,PC1,PC2,PC3
LUSC:sample1,-0.000437744,-0.000781945,0.000284348
LUSC:sample2,-0.000561821,-0.000184338,0.000490124
LUSC:sample3,-0.000277353,0.000354546,0.000876743
LUSC:sample4,-0.000213734,-0.000119388,0.000811557
LUAD:sample5,7.69E-05,0.000744722,-9.73E-05
LUSC:sample6,-0.00053717,-0.00061281,0.000243433
LUAD:sample7,0.000337197,-0.000181734,-0.000120118
LUSC:sample8,-0.000139829,-0.000858172,0.000372311
LUSC:sample9,-0.000476097,-0.000301602,0.000183428
LUAD:sample10,0.000234258,-0.000231885,-0.000687239
LUAD:sample11,0.00024654,-1.36E-06,2.70E-05
LUSC:sample12,-0.000266692,7.94E-05,0.000206462
LUAD:sample13,0.000476585,0.000644245,0.001118219
LUSC:sample14,-0.000162462,-0.000571046,0.000733218
LUSC:sample15,-0.000617663,0.00013921,0.000328833
LUAD:sample16,0.000293828,0.000519343,-0.000247525
LUSC:sample17,-0.000220208,2.53E-06,0.000697941
LUSC:sample18,0.000436739,0.000822518,0.001133309
LUAD:sample19,0.000293089,2.74E-05,-0.000764776
LUAD:sample20,0.00013262,0.000710438,-0.000367014
LUSC:sample21,-0.000595061,7.22E-05,0.00045963
LUSC:sample22,-0.000254659,0.000734315,0.000877532
LUAD:sample23,5.78E-05,1.98E-05,-0.000791235
LUSC:sample24,-0.000304524,8.61E-05,0.00057138
LUSC:sample25,0.000333297,0.001190179,0.001313862
LUAD:sample26,0.000504905,-0.000221898,-0.000308366
LUAD:sample27,0.000294238,-0.000188196,-0.00108324
LUAD:sample28,0.000186968,0.001186307,0.000449703
LUAD:sample29,6.92E-05,-0.000234812,0.000297805
LUAD:sample30,0.000379949,9.10E-05,-0.000405967
LUAD:sample31,0.00067752,-0.001254271,0.000422658
LUSC:sample32,-0.000424493,-0.000244043,0.000376772
LUSC:sample33,-0.000324283,-0.000138904,0.000494367
LUAD:sample34,0.000235253,0.000463413,-0.001118656
LUSC:sample35,-0.000457368,-0.000453903,0.0005503
LUAD:sample36,0.000723444,-0.000866491,0.000227581
LUAD:sample37,7.52E-05,0.000176469,-0.000743513
LUSC:sample38,-0.000343701,0.000264359,0.000448478
LUAD:sample39,0.000329615,0.000222938,-0.000349486
LUAD:sample40,-8.76E-05,0.000121946,-0.001139132
LUAD:sample41,0.000417521,8.74E-05,-0.000515854
LUAD:sample42,0.000420819,-0.000241873,-0.0005539
LUAD:sample43,-3.57E-05,0.000254785,-0.000493113
LUAD:sample44,0.000374698,-0.000330916,0.00014129
LUSC:sample45,-0.000705459,0.000396286,-0.000427476
LUSC:sample46,-0.000495576,-0.000141361,0.000579629
LUAD:sample47,0.000365967,-5.48E-05,-0.000245988
LUSC:sample48,-0.000379477,-0.000302284,0.000307864
LUSC:sample49,-0.000138939,-0.000317321,0.000215294
LUAD:sample50,0.000681728,-0.000172917,0.001147377
LUAD:sample51,0.000303029,3.67E-05,-0.000592557
LUSC:sample52,0.000125336,-0.000764203,0.000114686
LUSC:sample53,7.70E-05,-0.000255301,-0.000610326
LUSC:sample54,-0.000100061,-0.000463923,0.000272258
LUSC:sample55,-0.000468956,-0.000412543,2.79E-05
LUAD:sample56,0.000308617,0.000499563,0.000462369
LUAD:sample57,0.00051147,7.12E-05,0.000219677
LUSC:sample58,-0.000441964,0.000156956,0.000701788
LUSC:sample59,-0.000567629,-6.14E-05,0.000280386
LUSC:sample60,-0.000438244,8.20E-05,0.000343163
LUAD:sample61,0.000342184,0.000238363,0.000450888
LUAD:sample62,0.000456099,-0.000161725,-0.000480296
LUSC:sample63,-0.000352603,-0.000142125,0.000406412
LUAD:sample64,0.000339882,-0.000524582,-0.000749722
LUSC:sample65,1.91E-05,-9.27E-05,0.000523875
LUAD:sample66,0.000208298,5.62E-05,-5.04E-05
LUSC:sample67,-0.000466516,0.00032852,-0.000712925
LUAD:sample68,0.000444052,1.75E-05,-0.000163561
LUSC:sample69,8.09E-05,0.000241165,-0.000648187
LUSC:sample70,-0.000621682,-0.000323196,0.000397263
LUAD:sample71,0.000518066,-0.000357592,-0.000361564
LUAD:sample72,8.67E-05,-0.000380106,-0.000678799
LUSC:sample73,-0.000470271,-0.00033785,1.33E-05
LUAD:sample74,0.000123178,-0.000110156,-0.001514575
LUSC:sample75,0.000327606,0.000336643,0.000833541
LUSC:sample76,-0.000393401,2.11E-05,-0.000773396
LUAD:sample77,5.87E-05,-0.000324225,-0.000683039
