,PC1,PC2,PC3
LAML:sample1,0.000298277,0.000302349,0.000339993
LUSC:sample2,-5.82E-05,-0.000341054,0.000815545
LAML:sample3,0.000298983,0.000133766,0.000130363
LAML:sample4,0.000293092,0.000233479,0.000154098
LUSC:sample5,-0.000102567,-0.00048739,0.000325365
LUSC:sample6,-0.000174964,-0.000197329,-0.000104704
LUSC:sample7,-0.000111022,-0.000107532,0.000252132
LAML:sample8,0.000265597,7.01E-05,3.17E-05
LUAD:sample9,-0.000147693,5.61E-05,-0.000657001
LUSC:sample10,-7.98E-05,-0.000417511,0.00071919
LUAD:sample11,-2.35E-05,0.000258275,-1.32E-05
LUSC:sample12,-4.22E-05,-7.30E-05,0.000800376
LUSC:sample13,-9.64E-05,-0.000399706,0.000412735
LUAD:sample14,-4.98E-05,0.000243124,0.000126403
AML:sample15,0.000285807,0.000106277,0.000292651
LUAD:sample16,-9.72E-05,0.000233267,-2.72E-05
LUSC:sample17,-0.00011652,-0.000246101,1.63E-05
LUAD:sample18,-0.000129611,0.000423925,-0.000619718
LUSC:sample19,-8.04E-05,-9.34E-05,0.000575611
LUSC:sample20,-9.11E-05,-0.000586642,-2.85E-05
LAML:sample21,0.000291201,0.000212848,-8.46E-05
LUAD:sample22,-0.000140954,0.000284873,-0.000454052
LUSC:sample23,-0.000159384,-0.000168381,0.000159734
LUSC:sample24,-0.000134694,0.000390727,-0.000764586
LUAD:sample25,-4.25E-05,0.000265751,-0.000154026
AML:sample26,0.000302701,-0.000116849,-6.55E-05
LUAD:sample27,-0.000128575,0.000121704,-0.000616995
LUSC:sample28,-0.000127115,-0.000468931,0.00017663
LUSC:sample29,-0.000179521,-0.00017225,-0.000428318
LUAD:sample30,-7.54E-05,-3.34E-05,-0.000116786
LUSC:sample31,-0.000140219,-0.00027245,6.18E-05
LUSC:sample32,-0.00014841,0.000232059,-0.001191519
LUAD:sample33,-6.93E-05,0.000506675,0.000115178
LUAD:sample34,-6.63E-05,0.000239978,6.18E-05
LUAD:sample35,-0.000157526,0.000142807,-0.001018665
LUAD:sample36,-0.000101031,0.000137697,0.000264687
LUAD:sample37,-9.20E-05,0.000331455,-0.000167727
LUAD:sample38,0.000111966,0.00084193,0.000936721
LUSC:sample39,-0.000106677,-0.000319156,0.000392408
LUSC:sample40,-9.99E-05,-0.000245578,0.000256975
LUAD:sample41,-8.21E-05,0.000239967,-0.000458514
LUSC:sample42,-7.56E-05,-0.000401011,0.00051963
LUAD:sample43,9.91E-05,0.000872589,0.000564352
LUAD:sample44,-0.000121492,9.59E-05,-0.00012148
LUSC:sample45,-0.000143871,-0.000293977,-6.59E-05
AML:sample46,0.000274429,-0.000263468,-3.79E-05
LUAD:sample47,-0.000117015,0.000353058,-0.000201464
AML:sample48,0.000307801,-0.000321617,-0.000277602
LUAD:sample49,-0.000104928,-6.87E-05,-6.27E-05
LUAD:sample50,-6.74E-05,0.000433057,-0.000165046
LUAD:sample51,-5.12E-05,0.0003995,9.90E-05
LUAD:sample52,-7.80E-05,-2.34E-05,-0.000234553
AML:sample53,0.000245431,-0.000497904,-0.000633961
LUAD:sample54,-6.67E-05,0.000355804,0.000213179
LUSC:sample55,-0.00011981,-0.000651784,-0.000193479
LAML:sample56,0.000323597,0.000331685,0.000392757
LUSC:sample57,-0.000145435,-0.000412443,0.000338564
LUAD:sample58,-8.27E-05,0.000367464,-1.92E-05
LAML:sample59,0.000298486,0.000202006,0.000229578
LUSC:sample60,-0.000102927,-0.00033791,0.000384924
LUSC:sample61,-5.11E-05,-8.57E-05,0.000311962
LUAD:sample62,-7.22E-05,0.000661731,4.06E-05
LUAD:sample63,-7.10E-05,0.000295494,-0.000112387
LUSC:sample64,-5.42E-05,0.000213302,0.00070185
LUSC:sample65,-4.18E-05,7.63E-05,0.000147282
LAML:sample66,0.000231559,0.000141707,-2.22E-05
LUSC:sample67,-6.76E-05,-4.10E-05,0.000459375
LAML:sample68,0.000271394,0.000118184,9.33E-05
LUSC:sample69,-7.49E-05,-0.000410383,0.000474585
AML:sample70,0.000265713,0.000602881,0.001269011
LUAD:sample71,-0.000109361,0.000318343,-0.000454017
LUAD:sample72,-1.88E-05,0.000568766,-0.000168652
LUSC:sample73,-0.000150386,-0.00037004,6.85E-05
LUSC:sample74,-9.83E-05,-0.00055905,0.000167129
LAML:sample75,0.000290335,0.000213905,0.000248165
LUSC:sample76,-0.000144373,-0.000391894,0.000111134
LUAD:sample77,-0.000106947,0.000318759,-0.00025631
LUAD:sample78,-8.59E-05,0.000458164,7.64E-05
LUSC:sample79,-0.00010268,-0.000252883,0.000283775
LUAD:sample80,-5.59E-05,0.000369459,0.000406524
LUSC:sample81,-0.000100843,7.36E-05,0.000147109
LUAD:sample82,-0.00011247,0.000242077,-1.74E-05
LUSC:sample83,-7.83E-05,-0.000424896,-0.000206714
AML:sample84,0.000247651,-0.00057641,-0.000610767
AML:sample85,0.000276242,-0.000241988,-0.000278618
LUAD:sample86,-7.24E-06,0.000502529,-0.000131113
LUSC:sample87,-0.000118183,4.51E-05,-0.000219652
